index,coeff,stder,p_val,0.025,0.975
dmv_avg_gcpex,-1.388e-17,0.09,1.0,-0.181,0.181
ta_sfc,-0.2604,0.142,0.073,-0.546,0.025
LTS,-0.396,0.155,0.014,-0.707,-0.085
rh_850,0.3472,0.14,0.017,0.065,0.629
omega_500,-0.1563,0.099,0.121,-0.355,0.043
wspd_sfc,-0.0441,0.113,0.697,-0.27,0.182
SS,0.1119,0.139,0.426,-0.168,0.392
DU,-0.0423,0.119,0.723,-0.281,0.197
BC,0.5707,0.247,0.025,0.074,1.067
OC,-0.4234,0.22,0.06,-0.864,0.018
SO2,-0.2354,0.116,0.048,-0.469,-0.002
SO4,-0.0671,0.154,0.665,-0.376,0.242
DMS,-0.149,0.15,0.327,-0.451,0.153
